activation,model_type,corruption_mode,p,sigma,mlp_width,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
tanh,mlp,replacement,0.2,0.0,128,20,0.9666399999999999,0.002132697822008551,0.00047688573054768666,0.10872210715527647,0.007216077240660252,0.0016135639241005432
tanh,mlp,replacement,0.4,0.0,128,20,0.94084,0.0024454856368418803,0.0005468272121977808,0.19578224814161657,0.00933503412932143,0.0020873770885443278
tanh,mlp,replacement,0.6,0.0,128,20,0.90332,0.004521128177789272,0.0010109549940526567,0.31771091508865357,0.014277407687243617,0.0031925254131154783
tanh,mlp,replacement,0.8,0.0,128,20,0.819615,0.009057939887192891,0.0020254169323870082,0.5746626058077812,0.017705976549419505,0.003959176717251918
tanh,mlp,replacement,1.0,0.0,128,20,0.10854,0.029145555407300097,0.0065171443132709585,2.3050821073532104,0.002815573255590922,0.0006295813195131691
tanh,mlp,replacement,0.0,0.0,256,20,0.97868,0.0015302287410710875,0.0003421695486158876,0.07296125667472603,0.00529546243370909,0.001184101397407
tanh,mlp,replacement,0.1,0.0,256,20,0.97722,0.0010759182125050218,0.00024058262613912927,0.07227156470659887,0.0033385461088245093,0.0007465216045349013
tanh,mlp,replacement,0.2,0.0,256,20,0.97148,0.00241818113465472,0.0005407217398995525,0.09181573106161785,0.007069295103220304,0.0015807424403806991
tanh,mlp,replacement,0.4,0.0,256,20,0.952965,0.002743770216326437,0.0006135256718345217,0.15304465058974923,0.009316429566919911,0.0020832169819221848
tanh,mlp,replacement,0.6,0.0,256,20,0.91843,0.003600569399414487,0.0008051117934796384,0.26752180552333593,0.010228207307597093,0.00228709668277472
tanh,mlp,replacement,0.8,0.0,256,20,0.826465,0.009027473345294348,0.0020186044065145592,0.5515440761089325,0.017510808031328547,0.00391553570989999
tanh,mlp,replacement,1.0,0.0,256,20,0.127325,0.01993030042422843,0.004456550656056767,2.3020658361053465,0.0025975600514092775,0.0005808320850588993
tanh,mlp,replacement,0.0,0.0,512,20,0.977925,0.001458723757261802,0.00032618054816312917,0.07549006409902503,0.005827743987632781,0.001303123171181259
tanh,mlp,replacement,0.1,0.0,512,20,0.97791,0.0017268178826963844,0.00038612821704713733,0.07326154736073921,0.006454646776476017,0.0014433028962950263
tanh,mlp,replacement,0.2,0.0,512,20,0.97165,0.002698610753702731,0.0006034277090091249,0.09145146028422285,0.009039297510863624,0.0020212483703135704
tanh,mlp,replacement,0.4,0.0,512,20,0.957505,0.0029194991008732953,0.0006528198449802204,0.13809376183679328,0.01001879037327576,0.0022402696326965094
tanh,mlp,replacement,0.6,0.0,512,20,0.92183,0.004436789379720427,0.0009920962654904,0.2569633732753992,0.01240749092333062,0.00277439931347789
tanh,mlp,replacement,0.8,0.0,512,20,0.823805,0.009891282778285127,0.0022117580676918524,0.5658490688276291,0.021477964645963823,0.004802618896671231
tanh,mlp,replacement,1.0,0.0,512,20,0.12451,0.02127949482483078,0.00475823969551766,2.3030394896507262,0.005449242496990384,0.0012184876649151191
