activation,model_type,corruption_mode,p,sigma,seed,train_loss,test_loss,test_accuracy,brightness_scale,mlp_hidden_sizes
gelu,mlp,replacement,0.75,0.0,367471235,0.8230360005060832,2.3132546815872193,0.8451,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,986561750,0.8303260668436686,3.531471965789795,0.8152,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,207917862,1.1116036218643188,5.190494368743897,0.7516,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,236930555,0.8171618906656901,1.4056467879921197,0.8718,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,571660719,0.8265213586489359,6.6346097160339355,0.7975,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,684793157,0.8128508984565734,0.6666932061195373,0.8806,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,689071074,1.1167450664520264,8.538135717773438,0.7854,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,713685985,0.8232827372550965,3.3301935789108277,0.8491,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,825235127,1.1134038898468017,3.790308875465393,0.8148,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,60623394,0.8193170579274496,3.8755138982772825,0.8275,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,1028148,1.123190047009786,5.764167879486084,0.7697,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,638489169,1.1089079750696818,3.7763268898010254,0.7962,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,902294519,0.8163380433400472,5.222070585632324,0.8251,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,970195406,1.1068595224380493,0.5091269141674042,0.8716,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,425010112,1.1178171356201172,1.870100887107849,0.7835,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,29032311,1.1074328294436138,6.657315550231933,0.7932,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,896896600,0.8152254046122233,1.9160074375152587,0.8618,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,708424830,1.1137757642745971,6.427255274963379,0.7975,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,995666618,1.109598040707906,1.6933748956680297,0.7844,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,812200436,0.8111981493314108,1.9164090980529784,0.8263,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,553189048,1.1174865872065227,4.809364385986328,0.7759,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,710826152,1.1117544410069784,9.71235234375,0.7713,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,896297903,1.0988729518254599,6.934006279945374,0.8205,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,10505289,1.1108938304901124,1.1813794660568238,0.833,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,531866751,1.1053574922561646,4.895154381561279,0.8027,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,35898196,1.1116429730415345,3.079438246536255,0.8048,1.0,"[128, 128]"
gelu,mlp,replacement,0.75,0.0,873948399,0.8160947859128316,3.543880401992798,0.8168,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,815045537,1.1146448422749837,3.4727415897369385,0.7899,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,525058961,1.110841926320394,7.968825344085693,0.7767,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,386843097,1.1064077433586121,8.195834057617187,0.7585,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,778579282,1.1072958952585856,10.393233066558837,0.7556,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,399903998,1.1165487290064493,8.486272549438477,0.7685,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,708365312,1.11318617699941,6.813842391967773,0.8076,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,580393188,1.1089124587376913,4.885339443969727,0.7904,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,984254973,1.1162626811981202,2.651698405456543,0.7907,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,566535175,1.1104792945861817,5.4745188888549805,0.7854,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,978479993,1.1169437795003254,0.942581192445755,0.8223,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,974373585,1.1018430879592895,2.6535698444366456,0.7894,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,447464426,1.1146628441492716,4.202884220123291,0.782,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,839644936,1.1073337058385213,5.130294701385498,0.7937,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,530823129,1.1126627126693727,5.652399745941162,0.7899,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,907634020,1.1088106125513713,4.572470672607422,0.7868,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,89384090,1.111315721766154,3.497511632156372,0.804,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,666014040,1.1092291667938232,5.930262012863159,0.7967,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,922916838,1.1230700294494629,13.458833505249023,0.6449,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,210586408,1.1183582298914592,5.150132394790649,0.8418,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,197175921,1.1164571100870768,7.092955535888672,0.7841,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,777220121,1.1190481797218323,9.691722497558594,0.6997,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,352017671,1.1169076731046041,3.0938852561950685,0.7985,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,596964110,1.1075084356943767,5.728163684082031,0.7244,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,118590046,1.1104825757980348,3.117131629562378,0.8058,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,198228483,1.1228613506952922,8.213532539367677,0.7496,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,343604829,1.1148457637151081,10.162730697631837,0.7712,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,874532461,1.1119041299184163,2.9663583826065065,0.811,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,662456575,1.1101583236058552,7.954384393310547,0.7541,1.0,"[128, 128]"
